3C4MOPtm_b, 3c4mop_m_1_2_3_4_5_6 --> 3c4mop_1_2_3_4_5_6
OAAt2m_f, oaa_2_3 --> oaa_m_2_3
OCBTi_b, citr-L_6 --> cbp_1
CITtcm_b, cit_m_2 --> cit_2
CITtcm_b, cit_m_3_4 --> cit_3_4
CITtcm_b, cit_m_2_3 --> cit_2_3
CITtcm_b, cit_m_2_3_4 --> cit_2_3_4
CITtcm_b, cit_m_1_2_3_4 --> cit_1_2_3_4
CITtcm_b, cit_m_3_4_5 --> cit_3_4_5
CITtcm_b, cit_m_1_2_3_5_6 --> cit_1_2_3_5_6
CITtcm_b, cit_m_3 --> cit_3
CITtcm_b, cit_m_2_3_5 --> cit_2_3_5
CITtcm_b, cit_m_2_3_5_6 --> cit_2_3_5_6
ICDHxm, icit_m_5 --> akg_m_4
ICDHxm, icit_m_2 --> akg_m_2
ICDHxm, icit_m_1_2_3_5_6 --> akg_m_1_2_3_4_5
ICDHxm, icit_m_3_5 --> akg_m_3_4
ICDHxm, icit_m_4 --> co2_m_1
ICDHxm, icit_m_5_6 --> akg_m_4_5
ICDHxm, icit_m_2_3_5 --> akg_m_2_3_4
ICDHxm, icit_m_2_3_5_6 --> akg_m_2_3_4_5
ICDHxm, icit_m_2_3 --> akg_m_2_3
ICDHxm, icit_m_3 --> akg_m_3
ICDHxm, icit_m_3_5_6 --> akg_m_3_4_5
GMPS2, gln-L_4 --> glu-L_4
GMPS2, gln-L_3_4_5 --> glu-L_3_4_5
GMPS2, gln-L_2_3_4 --> glu-L_2_3_4
GMPS2, gln-L_2_3 --> glu-L_2_3
GMPS2, gln-L_3_4 --> glu-L_3_4
GMPS2, gln-L_2_3_4_5 --> glu-L_2_3_4_5
GMPS2, gln-L_1_2_3_4_5 --> glu-L_1_2_3_4_5
GMPS2, gln-L_2 --> glu-L_2
GMPS2, gln-L_3 --> glu-L_3
GMPS2, gln-L_4_5 --> glu-L_4_5
CITtam_b, cit_m_2_3 --> cit_2_3
CITtam_b, cit_m_1_2_3 --> cit_1_2_3
CITtam_b, cit_m_2 --> cit_2
CITtam_b, cit_m_2_3_5 --> cit_2_3_5
CITtam_b, cit_m_1_2_3_5_6 --> cit_1_2_3_5_6
CITtam_b, cit_m_1_2 --> cit_1_2
CHORS, 3psme_1_2_3_4_5_6_7_8_9 --> chor_1_2_3_4_5_6_7_8_9
CITtam_b, cit_m_1 --> cit_1
CITtam_b, cit_m_2_3_4 --> cit_2_3_4
CITtam_b, cit_m_1_2_3_4 --> cit_1_2_3_4
CHORS, 3psme_10 --> chor_10
GAPD_b, 13dpg_3 --> g3p_3
GAPD_f, g3p_1 --> 13dpg_1
GAPD_b, 13dpg_2_3 --> g3p_2_3
GAPD_f, g3p_2 --> 13dpg_2
GAPD_b, 13dpg_1_2 --> g3p_1_2
GAPD_f, g3p_1_2 --> 13dpg_1_2
GAPD_b, 13dpg_1_2_3 --> g3p_1_2_3
GAPD_b, 13dpg_2 --> g3p_2
GAPD_f, g3p_1_2_3 --> 13dpg_1_2_3
GAPD_f, g3p_2_3 --> 13dpg_2_3
CITtcm_b, cit_m_1_2_3 --> cit_1_2_3
CITtcm_b, cit_m_1_2 --> cit_1_2
CITtam_f, mal-L_m_4 --> mal-L_4
CITtcm_b, cit_m_1 --> cit_1
ACCOACr_b, malcoa_1_2 --> accoa_1_2
AATA_f, glu-L_4_5 --> akg_4_5
ACCOACr_b, malcoa_1 --> accoa_1
AATA_f, glu-L_5 --> akg_5
AATA_f, glu-L_4 --> akg_4
GLUt7m, glu-L_2 --> glu-L_m_2
AKGDbm, sdhlam_m_2 --> succoa_m_2
AKGDbm, sdhlam_m_1_2_3_4 --> succoa_m_1_2_3_4
AKGDbm, sdhlam_m_2_3 --> succoa_m_2_3
AKGDbm, sdhlam_m_2_3_4 --> succoa_m_2_3_4
TPI_f, dhap_1_2_3 --> g3p_1_2_3
ACLSm, pyr_m_1 --> co2_m_1
ACLSm, pyr_m_1_2_3 + pyr_m_2 --> alac-S_m_1_2_3_4
ASPTA_f, akg_4_5 --> glu-L_4_5
ASPTA_f, asp-L_1 --> oaa_1
ASPTA_f, akg_3_4_5 --> glu-L_3_4_5
ASPTA_f, akg_4 --> glu-L_4
ASPTA_f, akg_5 --> glu-L_5
ASPKi, asp-L_1_2_3_4 --> 4pasp_1_2_3_4
ASPTA_b, glu-L_2_3_4_5 --> akg_2_3_4_5
ASPKi, asp-L_3_4 --> 4pasp_3_4
ASPTA_b, glu-L_1_2_3_4_5 --> akg_1_2_3_4_5
ASPTA_b, glu-L_3 --> akg_3
ASPTA_b, glu-L_2 --> akg_2
ASPKi, asp-L_4 --> 4pasp_4
ASPTA_b, glu-L_2_3 --> akg_2_3
